"price" "sqft" "age" "feats" "northeast" "cust" "cor" "tax"
108000 2200 26 4 "Yes" "No" "No" 1076
105000 1680 13 4 "Yes" "No" "No" 875
104900 1900 34 3 "Yes" "No" "No" 690
95500 1565 NA 3 "Yes" "Yes" "No" 648
93400 1543 20 3 "Yes" "No" "No" 820
87500 1173 6 4 "Yes" "No" "No" 456
88900 1549 NA 4 "Yes" "No" "No" 723
85500 1900 NA 3 "Yes" "No" "No" 780
83500 1560 NA 5 "Yes" "No" "Yes" 638
81000 1365 NA 2 "Yes" "No" "No" 673
80500 1258 7 4 "Yes" "No" "Yes" 821
79900 1314 NA 2 "Yes" "No" "No" 671
75000 1338 NA 3 "Yes" "No" "Yes" 649
75900 997 4 4 "Yes" "No" "No" 461
75500 1275 NA 5 "Yes" "No" "No" NA
75000 1030 NA "Yes" "Yes" "No" "No" 486
73000 1027 NA 3 "Yes" "No" "No" 427
72900 1007 19 6 "Yes" "No" "No" 513
71000 1083 22 4 "Yes" "No" "No" 504
77300 1320 NA 5 "Yes" "No" "No" NA
69000 1348 15 2 "Yes" "Yes" "No" NA
67000 1350 NA 2 "Yes" "No" "No" 622
61900 837 NA 2 "Yes" "No" "No" 342
129500 3750 NA 4 "No" "Yes" "Yes" 1200
97500 1500 7 3 "No" "Yes" "Yes" 700
93900 1428 40 2 "No" "No" "No" 701
82000 1375 NA "Yes" "No" "No" "No" 585
78000 1080 NA 3 "No" "Yes" "No" 600
77000 900 NA 3 "No" "No" "No" 391
70000 1505 NA 2 "No" "No" "Yes" 591
62000 1480 NA 4 "No" "No" "No" NA
54000 1142 NA "No" "No" "No" "No" 223
107000 1464 NA 2 "No" "No" "No" 376
210000 2116 25 3 "No" "Yes" "No" 1209
72500 1280 NA 3 "No" "No" "No" 447
66000 1159 NA "No" "No" "No" "No" 225
60000 1198 NA 4 "No" "No" "No" NA
58000 1051 15 2 "No" "No" "No" 426
184400 2250 40 6 "No" "Yes" "No" 915
158000 2563 NA 2 "No" "Yes" "No" 1189
69900 1400 45 "Yes" "No" "Yes" "Yes" 481
133000 1850 5 5 "No" "Yes" "Yes" NA
116000 1720 5 4 "No" "No" "No" 867
110900 1740 4 3 "No" "No" "No" 816
112900 1700 6 4 "No" "No" "No" 725
105000 1620 6 4 "No" "No" "No" 800
104500 1630 6 4 "No" "No" "No" 750
105000 1920 8 4 "No" "No" "No" 944
102000 1606 5 4 "No" "No" "No" 811
1e+05 1535 7 5 "No" "No" "Yes" 668
103000 1540 6 2 "No" "No" "Yes" 826
97500 1739 13 3 "No" "No" "No" 880
95000 1715 NA 3 "No" "No" "No" 900
94000 1305 5 3 "No" "No" "No" 647
92000 1415 7 4 "No" "No" "No" 866
94500 1580 9 3 "No" "No" "No" 810
87400 1236 3 4 "No" "No" "No" 707
87200 1229 6 3 "No" "No" "No" 721
87000 1273 4 4 "No" "No" "No" 638
86900 1165 7 4 "No" "No" "No" 694
76600 1200 7 4 "No" "No" "Yes" 634
73900 970 4 4 "No" "No" "Yes" 541
